Timestamp,Coder ID,Paper ID Code ,Year Published,First Author's Last Name,Taxonomic Focus,Habitat Focus,Number of Countries Involved,Countries Analyzed,Continent(s) represented,Scale of Entire System,Number of Time Periods (number),Starting Year of Study,Ending Year of Study,Temporal Resolution,Temporal Resolution (Unknown/Unclear),,Metacoupling Variable Type,Before/During/After,Specific Peri- or Telecoupled Flow(s),Telecoupled Flow Category,,,,,,Separation of Peri- and Telecoupled Connections,Separation of Peri- and Telecoupled Connections (uncertain),,Source of Biodiversity Data,Source of Metacoupling Data,Type of Biodiversity Data,Type of Metacoupling Data,Scale of biodiversity metric(s)?,Comments/Concerns,How many metrics of biodiversity did the study report?,What were the specific metrics reported?,Does this paper need further discussion with the whole group? (Expect most answers to be no),Countries Analyzed for Biodiversity
4/30/2020 22:49:42,M_Lei,471,2011,WIANCKO,Birds,Terrestrial,,CUBA,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),3,2005,2006,Seasonally,,,Continuous,During,investment and building in resorts,Investment,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,landbird richness and abundance,No,CUBA
5/11/2020 0:57:33,R_Chen,2210,2016,Auliya,Reptiles,Terrestrial,,many,"North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Oceania (Australia, New Zealand, Fiji, etc)","International (within a continent; e.g., European Union)",1,2004,2014,Unknown/Unclear,the authors don't mention the temporal resolution,,Categorical,During,trade impacts on reptile population,Trade,,,,,,No,,,Secondary,Secondary,Social science field observations,Social science field surveys,"International (within a continent; e.g., European Union)",,one,number of reptiles,No,many
5/11/2020 9:38:09,R_Chen,2214,2016,Villatoro,Mammals,Terrestrial,,Chile,South America,National,1,2013,2014,Unknown/Unclear,once during the survey time,,Categorical,During,migration,Migration (non-human),,,,,,No,,,Primary,Primary,Social science field observations,Social science field surveys,Sub-national (within-country region),,one,number of dogs,No,1
5/11/2020 10:04:31,R_Chen,2402,2016,Tata,Plants/trees/shrubs,Terrestrial,,1,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),2,2014,2014,Seasonally,2 times,,Continuous,During,domestication ,Investment,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,one,growth rate of trees,No,1
5/11/2020 10:33:06,R_Chen,2504,2016,Dronova,Birds,Freshwater,,1,Asia,Sub-national (within-country region),1,2006,2006,Daily,,,Categorical,During,count the waterbirds,Migration (human),,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,number of waterbirds,No,1
5/11/2020 11:24:21,R_Chen,4136,2014,Li,Birds,Terrestrial,,1,Asia,National,30,1981,2010,Annually,,,Continuous,After,international trade of birds,Trade,,,,,,No,,,Secondary,Secondary,Social science field observations,Social science field surveys,National,,1,Number of Species,No,1
5/11/2020 11:50:42,R_Chen,4352,2014,Duffy,Mammals,Terrestrial,,1,Africa,National,2,2008,2009,Unknown/Unclear,This paper is based on a total of three months fieldwork in Botswana during 2008/9. ,,Categorical,During,tourism impacts on elephant habitat,Tourism,,,,,,No,,,Primary,Primary,Social science field observations,Social science field surveys,National,,1,number of elephant,No,1
5/11/2020 12:22:26,R_Chen,6348,2011,Sundermann,Invertebrates,Freshwater,,1,Europe,Sub-national (within-country region),2,2007,2008,Annually,annual,,Continuous,During,no peri or telecoupled flow,Technology Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Number of available benthic invertebrate samples,No,1
5/11/2020 12:37:01,R_Chen,7010,2010,Morriën,not clearly mentioned,Not specified/Global study,,many,Unclear/unknown,Intercontinental (> 2 continents),1,NA,NA,Unknown/Unclear,"review paper, not mentioned temporal resolution",,Categorical,After,no quantification,Species Dispersal,,,,,,No,,,Secondary,Secondary,no data was used,Aggregate institutional data,Intercontinental (> 2 continents),,no ,no,No,many
5/11/2020 12:49:11,R_Chen,154,2017,Grandi,Birds,Terrestrial,,many,Unclear/unknown,Intercontinental (> 2 continents),1,NA,NA,Unknown/Unclear,"review paper, not mentioned",,Continuous,After,trade of individual numbers,Trade,,,,,,No,,,Secondary,Secondary,paper review,paper review,Intercontinental (> 2 continents),,1,number of individuals ,No,many
5/11/2020 13:22:05,R_Chen,854,2018,Yi,habitat,Terrestrial,,1,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),2,1984,2010,Unknown/Unclear,multi years,,Continuous,During,using InVEST model,Investment,,,,,,No,,,Primary,Primary,Remote sensing,Remote sensing,Sub-national (within-country region),,1,Habitat quality index,No,1
5/11/2020 13:34:19,R_Chen,1836,2017,Vall-llosera,Birds,Terrestrial,,many,"Oceania (Australia, New Zealand, Fiji, etc)",Intercontinental (> 2 continents),40,1975,2014,Annually,,,Continuous,After,international trade of parrot,Trade,,,,,,No,,,Secondary,Secondary,Social science field observations,Social science field surveys,Intercontinental (> 2 continents),,1,number of transactions,No,many
5/12/2020 0:58:24,R_Chen,6315,2011,Burn,Mammals,Terrestrial,,many,Unclear/unknown,Global (>100 countries),8,2002,2009,Unknown/Unclear,don't mentioned,,Continuous,After,ivory trade,Trade,,,,,,No,,,Secondary,Secondary,Biological field observations,Field observations,Intercontinental (> 2 continents),,1,poaching index,No,many
5/12/2020 12:01:04,R_Chen,3790002,2019,Liu,Plants/trees/shrubs,Terrestrial,,1,Asia,Sub-national (within-country region),1,NA,NA,Unknown/Unclear,not mentioned,,Continuous,After,"established a regression model to explain the relationship between human interference and abun-dance of bryophytes in the five sinkholes,",Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,number of species,No,1
5/12/2020 12:40:41,R_Chen,1893,2017,Huang,Fish,Marine,,1,Asia,Sub-national (within-country region),1,2014,2014,Unknown/Unclear,only did field work one time,,Continuous,After,descriptive analysis,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,2,"richness, abundance ",No,1
5/12/2020 16:39:06,R_Chen,2036,2017,HAKIM,Plants/trees/shrubs,Terrestrial,,1,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),1,NA,NA,Unknown/Unclear,"review paper, temporal resolution not specified",,Categorical,After,not clear,"Trade, Tourism",,,,,,No,,,Secondary,Secondary,Social science field observations,Social science field surveys,Sub-national (within-country region),,0,very general but not quantified,No,1
5/12/2020 16:57:18,R_Chen,4207,2017,Goswami,Mammals,Terrestrial,,1,Asia,Sub-national (within-country region),1,2008,2008,Annually,,,Continuous,After,how conflict affect biodiversity,governance,,,,,,No,,,Primary,Secondary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,density of animals,No,1
5/15/2020 14:32:41,E_Dean,5844,2012,Brewer,Fish,Marine,,"Solomon islands whose pressure on coral reef fishes are driven by market demand, pop. density, and socioeconomic development that ultimately affect fishing pressure and reduction in coral cover","Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),1,2004,2004,Monthly,,,Continuous,During,"Human population density (people per sq. km of the coral reef), socioeconomic development (sum of un-weighted infrastructures and amenities), market access (un-weighted sum of the shortest distance from each ecological sampling location to the nearest local fish market, provincial capital, and national capital using roads and sea as routes as distance measures)",Trade,,,,,,Yes,,,Primary,Secondary,Biological field observations,"Social science field surveys, Aggregate institutional data",Sub-national (within-country region),,8,Species richness; species evenness; average taxonomic distinctness (AvTD); variation in taxonomic distinctness (VarTD); all herbivores; non-target herbivores; all piscivores; non-target piscivores,No,Solomon Islands
5/19/2020 9:25:52,X_Wu,302,2014,Lima,Fish,Freshwater,,Brazil,South America,Unclear/unspecified,1,2005,2007,Daily,,,Categorical,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,Species richness; diversity; eveness; density,No,Brazil
5/19/2020 10:32:00,X_Wu,479,2019,Singh,Invertebrates,Terrestrial,,China,Asia,Unclear/unspecified,1,2013,2013,Annually,,,Categorical,During,,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),This paper only showed the significant differences about the α diversity.,3,"Richness, abundance, diversity",No,China
5/19/2020 11:38:15,X_Wu,1368,2017,Arribas,Invertebrates,Marine,,Argentina,South America,Unclear/unspecified,4,NA,NA,Seasonally,,,Continuous,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Density,No,Argentina
5/19/2020 12:26:04,X_Wu,4257,2014,Miranda,Invertebrates,Freshwater,,South Africa,Africa,Unclear/unspecified,2,1968,2013,Annually,,,Categorical,"Before, After",,"Trade, Species Dispersal",,,,,,No,,,Secondary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Composition,No,South Africa
5/19/2020 20:24:57,X_Wu,5746,2012,Villamagna,Birds,Freshwater,,Mexico,North America (includes Hawaii & all countries above Panama Canal),Unclear/unspecified,6,2006,2008,Seasonally,,,Continuous,During,,Species Dispersal,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,"Density, species richness, Simpson's index, species composition",No,Mexico
5/24/2020 16:01:18,A_Torres,1366,2017,Yang,Fish,Freshwater,,China,Asia,Sub-national (within-country region),3,2012,2014,Annually,,,Categorical,"Before, After",,Energy Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,5,AbundanceAge1; AbundanceAge2; AbundanceAge3; AbundanceAge4; EggsLarvaeAbundance,No,China
5/25/2020 17:28:27,Y_Zhang,3697,2014,Moraga,Mammals,Terrestrial,,Chile,South America,Sub-national (within-country region),16,2006,2010,Seasonally,,,Continuous,"Before, After",,"Migration (non-human), Mentioned commercial logging but its impact is not measured.",,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Guanaco density,No,Chile
5/25/2020 23:02:44,M_Lei,6195,2011,Azhar,Birds,Terrestrial,,Malaysia,Asia,Sub-national (within-country region),1,2009,2009,Annually,,,Continuous,After,natural forest prior to conversion to oil palms.,Investment,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,birds richness,No,Malaysia
5/25/2020 23:33:33,Y_Zhang,3849,2014,Wolf,Plants/trees/shrubs,Terrestrial,,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Unclear/unspecified,2,2006,2007,Unknown/Unclear,Field work days,,Continuous,After,,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Inferred tourists (trail/road use intensity),Sub-national (within-country region),,3,"Total plant cover, non-native spcies, simpson's diversity index",No,Australia
5/25/2020 23:39:29,M_Lei,3247,2015,Valencia,Plants/trees/shrubs,Terrestrial,,Mexico,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),1,2011,2012,Seasonally,,,Continuous,After,"farmers’ knowledge of management practices,Preferred and disliked tree species mentioned in at least 20% of interviews",Knowledge Transfer,,,,,,Yes,,,Primary,Primary,"Biological field observations, Social science field observations","Field observations, Social science field surveys",Sub-national (within-country region),,3,"tree richness,tree density,shannon diversity",No,Mexico
5/26/2020 0:06:42,Y_Zhang,4445,2013,Wolf,Birds,Terrestrial,,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Unclear/unspecified,2,2006,2007,Unknown/Unclear,Field work days,,Continuous,After,,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Tourists (road/trail classified as intense use - high/low),Sub-national (within-country region),,2,"Number of birds, species richness",No,Australia
5/26/2020 11:03:35,Y_Zhang,4209,2014,Molina-Montenegro,Plants/trees/shrubs,Terrestrial,,Antarctica,Antarctica,"International (within a continent; e.g., European Union)",2,2007,2009,Seasonally,,,Continuous,"Before, After","Visitors (tourists, scientists)",Migration (human),,,,,,No,Visitors must be from another continent (?),,Primary,Secondary,Biological field observations,Didn't identify source or number of visitors,"International (within a continent; e.g., European Union)",,1,Number of P. annua individuals (abundance),No,Antarctica
5/26/2020 17:07:34,R_Chen,4772,2013,Shrestha,Plants/trees/shrubs,Terrestrial,,1,Asia,Sub-national (within-country region),11,2001,2011,Annually,,,Continuous,During,impacts of trade on fungus,Trade,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Sub-national (within-country region),,1,number of species,No,1
5/26/2020 17:21:18,R_Chen,4427,2013,Ellis,Birds,Freshwater,,1,North America (includes Hawaii & all countries above Panama Canal),National,11,1998,2008,Annually,,,Continuous,After,Impacts of commercial fisheries on migratory birds,Migration (non-human),,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,National,,1,number of species,No,1
5/26/2020 17:41:27,R_Chen,3081,2015,Mikoláš,Birds,Terrestrial,,1,Europe,Sub-national (within-country region),4,1985,2010,multi year,,,Continuous,During,selecting logging on Capercaillie abundence,Investment,,,,,,No,,,Secondary,Secondary,Social science field observations,Social science field surveys,Sub-national (within-country region),,1,number of species,No,1
5/26/2020 17:48:48,R_Chen,566,2018,Oldekop,Plants/trees/shrubs,Terrestrial,,1,Asia,National,2,2000,2012,Annually,,,Categorical,After,International outmigration drives reforestation,Migration (human),,,,,,No,,,Primary,Secondary,Remote sensing,Aggregate institutional data,National,,1,Forest cover change,No,1
5/28/2020 0:23:59,Y_Li,818,2018,Hassan,Plants/trees/shrubs,Terrestrial,,Bangladash,Asia,Sub-national (within-country region),2,2017,2017,Annually,,,Categorical,"Before, After",human migration,Migration (human),,,,,,No,,,Primary,Primary,Remote sensing,Aggregate institutional data,Sub-national (within-country region),,1,forest cover,No,Bangladash
5/28/2020 0:58:44,Y_Li,1113,2018,Loures,Fish,Freshwater,,Brazil,South America,Sub-national (within-country region),23,1993,2015,Annually,,,Categorical,,no,Migration (non-human),,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,richness,No,Brazil
5/28/2020 14:58:08,K_Kapsar,4509,2013,Luo,Mammals,Terrestrial,,China,Asia,Unclear/unspecified,1,2003,2011,Unknown/Unclear,Census across 9 years,,Categorical,"During, After",Tourists,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Social science field surveys",Sub-national (within-country region),,1,Species richness,No,China
5/28/2020 16:25:24,A_Herzberger,2201,2016,Porras,Mammals,Terrestrial,,Mexico,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),1,2008,2009,Daily,,,Categorical,During,Tourism ,Tourism,,,,,,Yes,"The considered tourism, AH, hunting and urban area on diversity",,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,2, tourism v. richness; tourism v. abundance,No,Mexico
5/28/2020 17:01:26,K_Kapsar,5926,2011,Harriague,Invertebrates,Marine,,Italy,Europe,Unclear/unspecified,2,2006,2007,Unknown/Unclear,Two sampling events,,Categorical,"Before, During",Tourist vessels in harbor,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,"abundance, biomass, species richness, ecological integrity",No,Italy
5/28/2020 23:39:30,Y_Li,2608,2016,Mathews,Mammals,Marine,,1,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),6,2001,2006,Daily,,,Continuous,,not specified,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,seal abundance,No,USA
5/29/2020 0:39:32,Y_Li,2976,2015,Koch,Mammals,Terrestrial,,"European, South Asia, Australia","Asia, Europe, Oceania (Australia, New Zealand, Fiji, etc)",Intercontinental (> 2 continents),-9999,na,na,Unknown/Unclear,decades ,,unclear,,human-mediated dispersal of cats,"Migration (human), Migration (non-human), Species Dispersal",,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,1,Genetic population ,No,Australia
5/29/2020 9:37:54,Y_Li,3161,2015,Cheng,Fish,Freshwater,,China,Asia,Sub-national (within-country region),2,2012,2013,Seasonally,,,Categorical,"Before, After",dam blocking,"Migration (non-human), Water Transfer",,,,,,No,,,Secondary,Secondary,review articles,review articles,Sub-national (within-country region),abundance,1,,No,China
5/29/2020 12:33:06,A_Herzberger,3243,2015,Harris,Birds,Terrestrial,,Indonesia,Asia,"International (within a continent; e.g., European Union)",1,NA,NA,Unknown/Unclear,"The did population trends over around 20 years, not always 2-",,Continuous,During,"Wild bird trade, domestic and to China, New Guinea etc.",Trade,,,,,,No,"They just mention the trade is both, they are analyzed as one",,Primary,Secondary,Social science field observations,Aggregate institutional data,Sub-national (within-country region),,1,mananova: groups of birds (stable/declining) v. Bird price & trade volume,No,Indonesia
5/29/2020 14:03:23,A_Herzberger,1376,2013,Moritz,Plants/trees/shrubs,Marine,,Republic of Maldives,Asia,Sub-national (within-country region),1,NA,NA,"1 time period, compare between sites",,,Categorical,During,reef habitat near island resort tourism ,Tourism,,,,,,No,"compared with local community, intracoupling ",,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,7,reef area; reef quality; reef size/age; fish diversity; fish biomass; echinoderm diversity;  echinoderm abundance,No,Republic of Maldives
5/29/2020 17:52:59,Y_Li,3845,2014,Ghorbani,Plants/trees/shrubs,Terrestrial,,Iran; Turkey,Asia,"International (within a continent; e.g., European Union)",1,2013,2013,Seasonally,,,Categorical,,trade,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,National,,1,Species diversity,No,Iran
5/29/2020 18:35:31,Y_Li,4119,2013,Escarpinati,Invertebrates,Freshwater,,Brazil,South America,Sub-national (within-country region),1,2009,2009,Seasonally,,,Continuous,,visitor trampling,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,2,"richness, total abundance",No,Brazil
5/29/2020 22:49:00,Y_Li,813,2018,Mantelatto,Plants/trees/shrubs,Marine,,Brazil,South America,Sub-national (within-country region),1,2017,2017,Annually,,,Continuous,,invasive species via trade,"Trade, Species Dispersal",,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,1,abundance,No,Brazil
5/29/2020 23:13:37,Y_Li,5955,2011,Zhang,Plants/trees/shrubs,Terrestrial,,China,Asia,Sub-national (within-country region),0,NA,NA,Unknown/Unclear,NA,,Categorical,,no,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,1,abundance,No,China
5/29/2020 23:28:21,Y_Li,6283,2011,Marini,Plants/trees/shrubs,Terrestrial,,EU; USA,"North America (includes Hawaii & all countries above Panama Canal), Europe",Intercontinental (> 2 continents),1,2010,2010,Annually,,,Continuous,,no,"Trade, Species Dispersal",,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Intercontinental (> 2 continents),,1,richness,No,EU; USA
6/3/2020 14:42:54,A_Herzberger,1376,2013,Moritz,Plants/trees/shrubs,Marine,,Republic of Maldives,Asia,Sub-national (within-country region),1,NA,NA,"1 time period, compare between sites",,,Categorical,During,reef habitat near island resort tourism ,Tourism,,,,,,No,"compared with local community, intracoupling ",,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,7,reef area; reef quality; reef size/age; fish diversity; fish biomass; echinoderm diversity;  echinoderm abundance,No,Republic of Maldives
6/3/2020 15:02:49,A_Herzberger,4060,2014, Kleijn,Birds,"Terrestrial, Freshwater",,Morocco ,Africa,"International (within a continent; e.g., European Union)",21,1985,2011,Annually,,,Categorical,"Before, After",,Knowledge Transfer,,,,,,No,,,Secondary,Secondary,Biological field observations,Field observations,Sub-national (within-country region),,"alot, im going to send an excel sheet ","waterbird abundance, richness ",No,Morocco
6/9/2020 14:31:59,A_Herzberger,5577,2012,Fischer,Birds,"Terrestrial, Freshwater",,USA,North America (includes Hawaii & all countries above Panama Canal),Intercontinental (> 2 continents),2,2005,2006,Seasonally,,,Categorical,"During, After",Invasion of riparian areas by Russian Olive that was introduced for conservation (soil stability)  ,"Species Dispersal, Knowledge Transfer",,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Remote sensing",Sub-national (within-country region),,1,Species richness,No,USA
6/15/2020 13:56:37,A_Herzberger,4518,2013,Hyun,Birds,"Freshwater, Marine",,"South Korea, North Korea, China, Mongolia, Australia ",Asia,"International (within a continent; e.g., European Union)",1,1999,2006,Unknown/Unclear,,,Categorical,After,"land was reclaimed and used for rice production, farmers changed management to attract birds, being compared to a control","Trade, Migration (non-human), Knowledge Transfer",,,,,,No,,,"Primary, Secondary",Primary,"Biological field observations, Aggregate institutional data","Field observations, Aggregate institutional data",Sub-national (within-country region),,1,diversity ,No,South Korea
6/22/2020 9:23:04,R_Chen,1320,2017,Wraith,Plants/trees/shrubs,Terrestrial,,many,"North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),16,2000,2016,Annually,,,Categorical,After,Tourism's impacts on orchids,Tourism,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Global (>100 countries),,1,number of species,No,many
6/22/2020 13:22:06,R_Chen,3361,2014,Faille,Invertebrates,Terrestrial,,France,Europe,Sub-national (within-country region),12,2010,2012,every 3 to 4 months during 3 years,,,Continuous,During,Tourist,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,number of species,No,France
6/22/2020 13:39:05,R_Chen,2800,2016,Okuno,biodiversity in general,Not specified/Global study,,"many, not specified focal country",Unclear/unknown,Global (>100 countries),0,NA,NA,Unknown/Unclear,"it is a review paper, no temporal resolution",,Categorical,During,how Global Legal Framework affects biodiversity,Global Legal Framework,,,,,,No,,,Secondary,Secondary,no data was used,"Global Legal Framework in general, no data was used",Global (>100 countries),,0,NA,Yes,many
6/22/2020 13:54:59,R_Chen,4180,2014,Kowalewski ,Clams,Marine,,Spain,Europe,Sub-national (within-country region),2,1978,2010,Monthly,,,Continuous,After,Loss of Shells to Tourism,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,1,number of species,No,Spain