"biodiv_countries","paper_id","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","timestamp","coder_id","year_pub","author","taxa_list","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","taxa"
"",1320,"","Secondary","Secondary","Tourism","Aggregate institutional data","Aggregate institutional data","Terrestrial","North America;South America;Asia;Europe;Africa;Oceania","2020-06-22 09:23:04","R_Chen",2017,"Wraith","Plants/trees/shrubs","Global (>100 countries)","16","2000","2016","Annually","","Categorical","After","Tourism's impacts on orchids","No","","Global (>100 countries)","","1","number of species","No","Plants"
"FRA",3361,"FRA","Primary","Primary","Tourism","Social science field surveys","Biological field observations","Terrestrial","Europe","2020-06-22 13:22:06","R_Chen",2014,"Faille","Invertebrates","Sub-national (within-country region)","12","2010","2012","every 3 to 4 months during 3 years","","Continuous","During","Tourist","No","","Sub-national (within-country region)","","1","number of species","No","Invertebrates"
"ESP",4180,"ESP","Secondary","Primary","Tourism","Aggregate institutional data","Biological field observations","Marine","Europe","2020-06-22 13:54:59","R_Chen",2014,"Kowalewski ","Clams","Sub-national (within-country region)","2","1978","2010","Monthly","","Continuous","After","Loss of Shells to Tourism","No","","Sub-national (within-country region)","","1","number of species","No","Clams"
"KOR",4518,"KOR;PRK;CHN;MNG;AUS","Primary","Primary;Secondary","Trade;Migration (non-human);Knowledge Transfer","Other","Biological field observations;Aggregate institutional data","Freshwater;Marine","Asia","2020-06-15 13:56:37","A_Herzberger",2013,"Hyun","Birds","International (within a continent; e.g., European Union)","1","1999","2006","Unknown/Unclear","","Categorical","After","land was reclaimed and used for rice production, farmers changed management to attract birds, being compared to a control","No","","Sub-national (within-country region)","","1","diversity ","No","Birds"
"USA",5577,"USA","Primary","Primary","Species Dispersal;Knowledge Transfer","Other","Biological field observations","Terrestrial;Freshwater","North America","2020-06-09 14:31:59","A_Herzberger",2012,"Fischer","Birds","Intercontinental (> 2 continents)","2","2005","2006","Seasonally","","Categorical","During, After","Invasion of riparian areas by Russian Olive that was introduced for conservation (soil stability)  ","No","","Sub-national (within-country region)","","1","Species richness","No","Birds"
"BTN;CHN;IND;NPL",17,"BTN;CHN;IND;NPL","Secondary","Secondary","Tourism","Other","Remote sensing","Terrestrial","Asia","4/7/2020 14:05","E_Dean",2019,"Brandt","Plants/trees/shrubs","International (within a continent; e.g., European Union)","17",NA,NA,"Annually","","Categorical","During","Buffer zones of ecotourism were established in major ecotourism hubs of each country (Himachal Pradesh (n = 4), Nepal (n = 5), Bhutan (n = 3), and Yunnan (n = 3))","Unclear/Uncertain","The study established ecotourism hubs, but did not specify what driver external to those hubs was driving ecotourism (for example, what countries are driving tourism in those hubs?)","International (within a continent; e.g., European Union)","","1","% forest loss","No","Plants"
"USA",134,"USA;ROW","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","4/28/2020 18:33","C_Hovis",2017,"Dudley","Invertebrates","Global (>100 countries)","1","2012","2014","Seasonally","","Categorical","Before, After","Invasive spp","No","","Sub-national (within-country region)","USA = Hawaii","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","No","Invertebrates"
"",154,"","Secondary","Secondary","Trade","Other","Other","Terrestrial","Unclear/unknown","5/11/2020 12:49","R_Chen",2017,"Grandi","Birds","Intercontinental (> 2 continents)","1",NA,NA,"Unknown/Unclear","review paper, not mentioned","Continuous","After","trade of individual numbers","No","","Intercontinental (> 2 continents)","","1","number of individuals ","No","Birds"
"BRA",302,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Freshwater","South America","5/19/2020 9:25","X_Wu",2014,"Lima","Fish","Unclear/unspecified","1","2005","2007","Daily","","Categorical","During","","No","","Sub-national (within-country region)","","4","Species richness; diversity; eveness; density","No","Fish"
"ITA",311,"ITA","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Europe","4/16/2020 12:14","Y_Zhang",2013,"Farris","Plants/trees/shrubs","Sub-national (within-country region)","2","2006","2006","Seasonally","Spring and summer","Categorical","Before, After","Tourists","No","","Sub-national (within-country region)","","1","species cover","No","Plants"
"CUB",471,"CUB","Primary","Primary","Investment","Field observations","Biological field observations","Terrestrial","North America","4/30/2020 22:49","M_Lei",2011,"WIANCKO","Birds","Sub-national (within-country region)","3","2005","2006","Seasonally","","Continuous","During","investment and building in resorts","No","","Sub-national (within-country region)","","2","landbird richness and abundance","No","Birds"
"CHN",479,"CHN","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","Asia","5/19/2020 10:32","X_Wu",2019,"Singh","Invertebrates","Unclear/unspecified","1","2013","2013","Annually","","Categorical","During","","No","","Sub-national (within-country region)","This paper only showed the significant differences about the α diversity.","3","Richness, abundance, diversity","No","Invertebrates"
"AUS",510,"AUS","Primary","Primary","Water Transfer;Waste Transfer","Field observations","Biological field observations","Terrestrial","Oceania","4/17/2020 10:03","A_Herzberger",2018,"Geedicke","Plants/trees/shrubs, habitat pollution ","Sub-national (within-country region)","1",NA,NA,"snap shot, 1x","","Categorical","","Runoff from industrial, urban, and control","Yes","the effect of residential vs. industrial runoff on habitat and plant communities ","Sub-national (within-country region)","","2","nutrient pollution, plant community composition","No","Plants; habitat pollution"
"MYS",518,"MYS","Secondary","Primary","Trade","Other","Biological field observations","Terrestrial","Asia","4/21/2020 11:14","A_Herzberger",2018,"Amira","Birds","Sub-national (within-country region)","2","2015","2015","Seasonally","before/after rice harvest","just assuming rice export","Before, After","external flow is rice export","No","","Sub-national (within-country region)","","3","bird abundance, richness and assemblage ","No","Birds"
"NPL",566,"NPL","Secondary","Primary","Migration (human)","Aggregate institutional data","Remote sensing","Terrestrial","Asia","5/26/2020 17:48","R_Chen",2018,"Oldekop","Plants/trees/shrubs","National","2","2000","2012","Annually","","Categorical","After","International outmigration drives reforestation","No","","National","","1","Forest cover change","No","Plants"
"NAM;BWA;ZAF",713,"","Primary;Secondary","Primary;Secondary","Tourism","Other","Social science field observations;Aggregate institutional data","Terrestrial","Africa","4/30/2020 17:58","M_Lei",2018,"Arbieu","Mammals","Global (>100 countries)","1","2012","2014","Annually","","Continuous","After","","No","","National","","2","Large mammal richness and Abundance","No","Mammals"
"USA",1040,"USA","Other","Primary","Other","Other","Biological field observations","Marine","North America","3/19/2020 16:41","E_Xing",2018,"BALMER","Mammals","Sub-national (within-country region)","3","2010","2011","Other","Jun. 2010,Aug. 2010,Feb. 2011,Oct. 2013","Categorical","3","oil spill","Yes","na","subnational","na","na","no such data in Chinese survey","No","Mammals"
"BRA",1270,"BRA","Primary","Primary","Water Transfer;Energy Transfer","Field observations","Biological field observations","Marine","South America","3/26/2020 15:16","A_Herzberger",2017,"Lima","Fish","International (within a continent; e.g., European Union)","3","2004","2012","1 year before, 1 year after, 5 years after dam closure","","Categorical","During, After","Hydropower production, before, after and 5 years after closure","No","","Sub-national (within-country region)","","3","reproduction, habitat use, diet by functional groups","No","Fish"
"DEU",1299,"DEU","Primary","Primary","Tourism","Remote sensing","Biological field observations","Terrestrial","Europe","4/6/2020 9:38","X_Wu",2017,"Coppes","Birds","Unclear/unspecified","2","2003","2006","Seasonally","","Continuous","During","","No","","Sub-national (within-country region)","","1","Habitat","No","Birds"
"",1349,"","Secondary","Secondary","Investment","Aggregate institutional data","Aggregate institutional data","Not specified/Global study","North America;South America;Asia;Europe;Africa;Oceania","4/27/2020 15:48","C_Hovis",2017,"Waldron","Birds, Mammals","Global (>100 countries)","2","1996","2008","Unknown/Unclear","","Continuous","Before, During, After","Conservation investment","No","","National","","1","Biodiversity decline score","No","Birds; Mammals"
"CHN",1366,"CHN","Primary","Primary","Energy Transfer","Field observations","Biological field observations","Freshwater","Asia","5/24/2020 16:01","A_Torres",2017,"Yang","Fish","Sub-national (within-country region)","3","2012","2014","Annually","","Categorical","Before, After","","No","","Sub-national (within-country region)","","5","AbundanceAge1; AbundanceAge2; AbundanceAge3; AbundanceAge4; EggsLarvaeAbundance","No","Fish"
"ARG",1368,"ARG","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","5/19/2020 11:38","X_Wu",2017,"Arribas","Invertebrates","Unclear/unspecified","4",NA,NA,"Seasonally","","Continuous","During","","No","","Sub-national (within-country region)","","1","Density","No","Invertebrates"
"MDV",1376,"MDV","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Asia","6/3/2020 14:42","A_Herzberger",2013,"Moritz","Plants/trees/shrubs","Sub-national (within-country region)","1",NA,NA,"1 time period, compare between sites","","Categorical","During","reef habitat near island resort tourism ","No","compared with local community, intracoupling ","Sub-national (within-country region)","","7","reef area; reef quality; reef size/age; fish diversity; fish biomass; echinoderm diversity;  echinoderm abundance","No","Plants"
"BRA",1551,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","3/31/2020 12:30","A_Torres",2017,"Mota Machado","Invertebrates","Intercontinental (> 2 continents)","2","2012","2014","Seasonally","","Categorical","During","Tourism: Human trampling in urban vs. non-urban areas","No","","Sub-national (within-country region)","","26","Richness-Grussai beach; Density-Grussai beach; Diversity-Grussai beach; Richness-Grussai beach-upper sector; Richness-Grussai beach-medium sector; Richness-Grussai beach-lower sector; Diversity-Grussai beach-upper sector; Diversity -Grussai beach-medium sector; Diversity-Grussai beach-lower sector; Composition-Grussai beach; Composition-Grussai beach-upper sector; Composition-Grussai beach-medium sector; Composition-Grussai beach-lower sector; Richness-Manguinhos beach; Density-Manguinhos beach; Diversity-Manguinhos beach; Composition-Manguinhos beach; Composition-Manguinhos beach-upper sector; Composition-Manguinhos beach-medium sector; Composition-Manguinhos beach-lower sector; Density of Atlantorchestoidea brasiliensis; Density of Donax hanleyanus; Density of Emerita brasiliensis; Density of Excirolana braziliensis; Density of Hemipodia californiensis; Density of Scolelepis sp.","No","Invertebrates"
"CAN",1565,"CAN","Primary","Primary","Trade;Knowledge Transfer","Social science field surveys","Biological field observations","Terrestrial","North America","4/21/2020 15:38","A_Herzberger",2017,"Kirk","Birds","Sub-national (within-country region)","4","1990","1990","Weekly","just 1 time point, 4 replicates ","Categorical","During","organic v. conventional agriculture practices","No","","Sub-national (within-country region)","","2","abundance, richness","No","Birds"
"USA",1590,"USA;GBR;NLD;BEL","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Terrestrial","North America","3/31/2020 14:10","A_Torres",2017,"Dale","Plants/trees/shrubs","Intercontinental (> 2 continents)","2","2002","2014","Annually","","Categorical","Before, After","wood pellet export industry","No","","Sub-national (within-country region)","","4","Number of standing dead trees-Savannah; Area with large trees-Savannah; Number of standing dead trees-Chesapeake; Area with large trees-Chesapeake","No","Plants"
"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR",1616,"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR","Secondary","Secondary","Knowledge Transfer;Investment","Aggregate institutional data","Aggregate institutional data","Terrestrial","Europe","4/14/2020 11:23","A_Herzberger",2016,"Gamero","Birds","International (within a continent; e.g., European Union)","30","1981","2012","Annually","","Categorical","Before, During","Kinda, they look at the effect conservation programs and ag intensity have on farmland birds across the EU","Yes","no","National","","4","relative abundance effected by conservation, population growth rate by conservation, abundance by ag intensity,  migration by ag intensity ","No","Birds"
"BGR",1681,"BGR","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","4/30/2020 20:36","M_Lei",2017,"Ivanova","Mammals","Global (>100 countries)","1","2016","2016","Annually","","Continuous","During","Tourists，The number of photoflashes produced by tourists in a session. ","No","","Sub-national (within-country region)","","1","bat mortality","No","Mammals"
"BRA",1743,"BRA","Secondary","Primary","Tourism","Other","Biological field observations","Freshwater","South America","4/15/2020 15:35","K_Kapsar",2017,"Balduino","Fish","Unclear/unspecified","1",NA,NA,"Seasonally","","Categorical","During","Tourists","No","","Sub-national (within-country region)","","5","abundance, richness, diversity, dominance, community competition","No","Fish"
"AUS",1752,"AUS","Secondary","Primary","remove;remove","Aggregate institutional data","Biological field observations","Terrestrial","Oceania","4/29/2020 0:58","Y_Zhang",2017,"Zeeman","Plants/trees/shrubs","Sub-national (within-country region)","2","1994","2014","Unknown/Unclear","Several field data collections, unknown resoluation","Categorical","After","","No","","Sub-national (within-country region)","","1","Species occurance","No","Plants"
"IDN",1799,"IDN","Primary","Primary","Trade","Social science field surveys","Biological field observations","Terrestrial","Asia","4/6/2020 10:12","X_Wu",2017,"Harris","Birds","National","14","1998","2014","Daily","","Continuous","During","","No","","Sub-national (within-country region)","","1","Abundance","No","Birds"
"",1821,"","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Terrestrial","North America;South America;Asia;Europe;Africa;Oceania","3/31/2020 14:43","A_Torres",2017,"Wilting","Birds, Mammals, Reptiles, Invertebrates, Plants/trees/shrubs","Intercontinental (> 2 continents)","1","2007","2007","Only for one year","","Continuous","After","Trade of goods and services","Yes","","Intercontinental (> 2 continents)","Aggregates data of mean species abundance for several taxa into one indicator","1","Mean Species Abundance per ha per year","No","Birds; Mammals; Reptiles; Invertebrates; Plants"
"",1836,"","Secondary","Secondary","Trade","Social science field surveys","Social science field observations","Terrestrial","Oceania","5/11/2020 13:34","R_Chen",2017,"Vall-llosera","Birds","Intercontinental (> 2 continents)","40","1975","2014","Annually","","Continuous","After","international trade of parrot","No","","Intercontinental (> 2 continents)","","1","number of transactions","No","Birds"
"CHN",1893,"CHN","Secondary","Primary","Tourism","Aggregate institutional data","Biological field observations","Marine","Asia","5/12/2020 12:40","R_Chen",2017,"Huang","Fish","Sub-national (within-country region)","1","2014","2014","Unknown/Unclear","only did field work one time","Continuous","After","descriptive analysis","No","","Sub-national (within-country region)","","2","richness, abundance ","No","Fish"
"MEX",2201,"MEX","Secondary","Primary","Tourism","Aggregate institutional data","Biological field observations","Terrestrial","North America","5/28/2020 16:25","A_Herzberger",2016,"Porras","Mammals","Sub-national (within-country region)","1","2008","2009","Daily","","Categorical","During","Tourism ","Yes","The considered tourism, AH, hunting and urban area on diversity","Sub-national (within-country region)","","2"," tourism v. richness; tourism v. abundance","No","Mammals"
"",2210,"","Secondary","Secondary","Trade","Social science field surveys","Social science field observations","Terrestrial","North America;South America;Asia;Europe;Africa;Oceania","5/11/2020 0:57","R_Chen",2016,"Auliya","Reptiles","International (within a continent; e.g., European Union)","1","2004","2014","Unknown/Unclear","the authors don't mention the temporal resolution","Categorical","During","trade impacts on reptile population","No","","International (within a continent; e.g., European Union)","","one","number of reptiles","No","Reptiles"
"CHL",2214,"CHL","Primary","Primary","Migration (non-human)","Social science field surveys","Social science field observations","Terrestrial","South America","5/11/2020 9:38","R_Chen",2016,"Villatoro","Mammals","National","1","2013","2014","Unknown/Unclear","once during the survey time","Categorical","During","migration","No","","Sub-national (within-country region)","","one","number of dogs","No","Mammals"
"IDN",2253,"IDN","Primary","Primary","Trade;Tourism","Field observations","Biological field observations","Marine","Asia","3/31/2020 13:59","A_Herzberger",2016,"Ferrigno","Invertebrates","Global (>100 countries)","1","2014","2014","2 months, across 18 sites ","","Continuous","During","Distance from coral reefs to fishing villages and scuba diving resorts as a proxy for human activity","Yes","measured affect ""other"" local sites as well ","Sub-national (within-country region)","","1","an index of coral quality was created from other biodiversity metrics","No","Invertebrates"
"PHL",2642,"PHL","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Freshwater","Asia","4/16/2020 15:23","K_Kapsar",2016,"Lourdes","Fish","Unclear/unspecified","1","2013","2015","Weekly","","Categorical","During","Invasive aquaculture fish","No","","Sub-national (within-country region)","","4","fish biomass, Shannon-Weiner diversity, richness, evenness","No","Fish"
"ROU",3081,"ROU","Secondary","Secondary","Investment","Social science field surveys","Social science field observations","Terrestrial","Europe","5/26/2020 17:41","R_Chen",2015,"Mikoláš","Birds","Sub-national (within-country region)","4","1985","2010","multi year","","Continuous","During","selecting logging on Capercaillie abundence","No","","Sub-national (within-country region)","","1","number of species","No","Birds"
"BRA",3112,"BRA;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","4/27/2020 13:31","C_Hovis",2015,"Santos","Invertebrates","Global (>100 countries)","1","2012","2012","Seasonally","","Categorical","Before, During, After","","No","","Sub-national (within-country region)","","13","presence/abundance based on taxa group","No","Invertebrates"
"BRA",3122,"BRA","Primary","Primary","Energy Transfer","Field observations","Biological field observations","Freshwater","South America","4/5/2020 8:19","E_Dean",2015,"Sa-Oliveira","Fish","Sub-national (within-country region)","8","2009","2010","Bi-monthly","","Categorical","During","","No","","Sub-national (within-country region)","","6","Abundace; biomass; species richness; alpha diversity; dominance; Bray-Curtis dissimilarity","No","Fish"
"FRA",3151,"FRA","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Freshwater","Europe","3/20/2020 0:22","M_Lei",2015,"LASNE","Fish","Sub-national ((within-country region)","18","1994","2011","Annually","","Categorical","Before, After","fish flow (The nest density and spatial distribution)","Yes","","Sub-national (within-country region)","","2","The nest density and spatial distribution","No","Fish"
"ITA",3165,"ITA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","3/19/2020 22:15","X_Wu",2015,"Fenu","Plants/trees/shrubs","Sub-national ((within-country region)","1",NA,NA,"Monthly","","Categorical","After","","No","","Sub-national (within-country region)","","2","Plant density; plant fitness","No","Plants"
"IDN",3243,"IDN","Secondary","Primary","Trade","Aggregate institutional data","Social science field observations","Terrestrial","Asia","5/29/2020 12:33","A_Herzberger",2015,"Harris","Birds","International (within a continent; e.g., European Union)","1",NA,NA,"Unknown/Unclear","The did population trends over around 20 years, not always 2-","Continuous","During","Wild bird trade, domestic and to China, New Guinea etc.","No","They just mention the trade is both, they are analyzed as one","Sub-national (within-country region)","","1","mananova: groups of birds (stable/declining) v. Bird price & trade volume","No","Birds"
"MEX",3247,"MEX","Primary","Primary","Knowledge Transfer","Other","Biological field observations;Social science field observations","Terrestrial","North America","5/25/2020 23:39","M_Lei",2015,"Valencia","Plants/trees/shrubs","Sub-national (within-country region)","1","2011","2012","Seasonally","","Continuous","After","farmers’ knowledge of management practices,Preferred and disliked tree species mentioned in at least 20% of interviews","Yes","","Sub-national (within-country region)","","3","tree richness,tree density,shannon diversity","No","Plants"
"MWI",3511,"MWI","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Freshwater","Africa","4/28/2020 10:35","K_Kapsar",2014,"Bocxlaer","Invertebrates","Intercontinental (> 2 continents)","1","2004","2004","Unknown/Unclear","Sampling protocol not detailed","Continuous","During","Invasive snail morph","No","","Sub-national (within-country region)","","2","Density","No","Invertebrates"
"CHL",3697,"CHL","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","South America","5/25/2020 17:28","Y_Zhang",2014,"Moraga","Mammals","Sub-national (within-country region)","16","2006","2010","Seasonally","","Continuous","Before, After","","No","","Sub-national (within-country region)","","1","Guanaco density","No","Mammals"
"AUS",3849,"AUS","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Oceania","5/25/2020 23:33","Y_Zhang",2014,"Wolf","Plants/trees/shrubs","Unclear/unspecified","2","2006","2007","Unknown/Unclear","Field work days","Continuous","After","","No","","Sub-national (within-country region)","","3","Total plant cover, non-native spcies, simpson's diversity index","No","Plants"
"MAR",4060,"MAR","Secondary","Secondary","Knowledge Transfer","Field observations","Biological field observations","Terrestrial;Freshwater","Africa","6/3/2020 15:02","A_Herzberger",2014," Kleijn","Birds","International (within a continent; e.g., European Union)","21","1985","2011","Annually","","Categorical","Before, After","","No","","Sub-national (within-country region)","","alot, im going to send an excel sheet ","waterbird abundance, richness ","No","Birds"
